nombre,email,mensaje,fecha_nacimiento
JOSE,jose@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-03-12
JOAO,joao@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-08-12
ANTONIO,antonio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-04-18
FRANCISCO,francisco@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-06-14
CARLOS,carlos@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1986-12-15
PAULO,paulo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-08-20
PEDRO,pedro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-07-22
LUCAS,lucas@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-03-13
LUIZ,luiz@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-04-10
MARCOS,marcos@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-05-06
LUIS,luis@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-02-12
GABRIEL,gabriel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-01-31
RAFAEL,rafael@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-12-20
DANIEL,daniel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-04-06
MARCELO,marcelo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-11-18
BRUNO,bruno@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-01-13
EDUARDO,eduardo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-11-27
FELIPE,felipe@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-03-06
RAIMUNDO,raimundo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1995-06-08
RODRIGO,rodrigo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1967-01-30
MANOEL,manoel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1973-06-30
MATEUS,mateus@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-08-11
ANDRE,andre@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-10-09
FERNANDO,fernando@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-12-17
FABIO,fabio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1970-08-06
LEONARDO,leonardo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-12-31
GUSTAVO,gustavo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-09-12
GUILHERME,guilherme@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-02-16
LEANDRO,leandro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-07-20
TIAGO,tiago@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-09-21
ANDERSON,anderson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-09-18
RICARDO,ricardo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-09-08
MARCIO,marcio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-02-13
JORGE,jorge@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-05-01
SEBASTIAO,sebastiao@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1997-07-07
ALEXANDRE,alexandre@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-11-21
ROBERTO,roberto@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-10-28
EDSON,edson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-01-16
DIEGO,diego@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-12-24
VITOR,vitor@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-01-13
SERGIO,sergio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-07-30
CLAUDIO,claudio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-05-08
MATHEUS,matheus@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-06-04
THIAGO,thiago@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-12-13
GERALDO,geraldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-03-20
ADRIANO,adriano@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-10-20
LUCIANO,luciano@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-07-07
JULIO,julio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-10-26
RENATO,renato@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-07-10
ALEX,alex@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-11-13
VINICIUS,vinicius@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-05-20
ROGERIO,rogerio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-01-09
SAMUEL,samuel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-08-18
RONALDO,ronaldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-04-27
MARIO,mario@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-07-28
FLAVIO,flavio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-06-16
