nombre,email,mensaje,fecha_nacimiento,fecha_ingreso
JOSE,jose@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-03-12,2005-05-17
JOAO,joao@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-08-12,2016-07-11
ANTONIO,antonio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-04-18,2020-01-06
FRANCISCO,francisco@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-06-14,2011-09-30
CARLOS,carlos@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1986-12-15,2005-11-17
PAULO,paulo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-08-20,2021-07-12
PEDRO,pedro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-07-22,2018-12-01
LUCAS,lucas@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-03-13,2011-06-30
LUIZ,luiz@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-04-10,2018-06-27
MARCOS,marcos@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-05-06,2022-07-03
LUIS,luis@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-02-12,2005-03-11
GABRIEL,gabriel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-01-31,1998-05-28
RAFAEL,rafael@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-12-20,2009-11-09
DANIEL,daniel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-04-06,2005-02-01
MARCELO,marcelo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-11-18,2009-01-28
BRUNO,bruno@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-01-13,2013-10-15
EDUARDO,eduardo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-11-27,2013-06-01
FELIPE,felipe@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-03-06,2006-07-26
RAIMUNDO,raimundo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1995-06-08,2015-09-27
RODRIGO,rodrigo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1967-01-30,2002-02-20
MANOEL,manoel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1973-06-30,1999-07-08
MATEUS,mateus@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-08-11,2017-05-24
ANDRE,andre@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-10-09,2019-12-11
FERNANDO,fernando@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-12-17,2021-01-16
FABIO,fabio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1970-08-06,2019-04-10
LEONARDO,leonardo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-12-31,2000-05-03
GUSTAVO,gustavo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-09-12,2022-08-01
GUILHERME,guilherme@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-02-16,2011-03-22
LEANDRO,leandro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-07-20,2015-02-10
TIAGO,tiago@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-09-21,2023-09-29
ANDERSON,anderson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-09-18,2010-03-19
RICARDO,ricardo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-09-08,2021-01-09
MARCIO,marcio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-02-13,2021-12-16
JORGE,jorge@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-05-01,2009-01-24
SEBASTIAO,sebastiao@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1997-07-07,2021-04-16
ALEXANDRE,alexandre@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-11-21,2019-04-09
ROBERTO,roberto@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-10-28,2017-04-09
EDSON,edson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-01-16,2004-05-07
DIEGO,diego@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-12-24,2004-02-03
VITOR,vitor@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-01-13,2012-12-16
SERGIO,sergio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-07-30,2015-10-11
CLAUDIO,claudio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-05-08,2001-01-25
MATHEUS,matheus@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-06-04,2022-10-05
THIAGO,thiago@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-12-13,2013-06-11
GERALDO,geraldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-03-20,2017-12-19
ADRIANO,adriano@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-10-20,2015-02-25
LUCIANO,luciano@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-07-07,2001-02-23
JULIO,julio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-10-26,2001-08-28
RENATO,renato@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-07-10,2001-08-07
ALEX,alex@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-11-13,2004-05-29
VINICIUS,vinicius@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-05-20,2021-10-28
ROGERIO,rogerio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-01-09,2023-06-13
SAMUEL,samuel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-08-18,2015-01-29
RONALDO,ronaldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-04-27,2009-12-06
MARIO,mario@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-07-28,2021-06-03
FLAVIO,flavio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-06-16,2000-11-22
DOUGLAS,douglas@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1950-09-13,2019-02-10
IGOR,igor@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-07-31,1999-05-17
DAVI,davi@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-02-04,2017-06-03
MANUEL,manuel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-06-13,2014-05-17
JEFERSON,jeferson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1997-08-29,2009-02-27
CICERO,cicero@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-05-13,2007-01-22
VICTOR,victor@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-05-18,2023-07-07
MIGUEL,miguel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-01-26,2007-06-08
ROBSON,robson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-07-06,2007-04-10
MAURICIO,mauricio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-07-19,2011-09-12
DANILO,danilo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-02-18,2009-06-19
HENRIQUE,henrique@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1971-09-09,1999-04-30
CAIO,caio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1955-02-26,2010-03-26
REGINALDO,reginaldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-12-05,2013-05-30
JOAQUIM,joaquim@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-04-23,2010-07-17
BENEDITO,benedito@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1957-08-10,2000-06-13
GILBERTO,gilberto@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-08-30,2020-05-25
MARCO,marco@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1965-12-29,2019-03-11
ALAN,alan@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-02-27,2021-11-15
NELSON,nelson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-12-17,2003-04-14
CRISTIANO,cristiano@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-11-25,2007-04-14
ELIAS,elias@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-08-18,2019-01-17
WILSON,wilson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-03-07,2019-05-15
VALDIR,valdir@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-10-03,2004-02-11
EMERSON,emerson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-04-23,2007-01-18
LUAN,luan@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1970-11-12,2016-09-12
DAVID,david@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-04-29,2009-10-19
RENAN,renan@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-12-06,2021-06-04
SEVERINO,severino@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1981-06-24,2011-06-15
FABRICIO,fabricio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-08-15,2020-01-26
MAURO,mauro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-02-07,2005-07-09
JONAS,jonas@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1968-07-15,2008-05-29
GILMAR,gilmar@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1968-03-24,2013-09-25
JEAN,jean@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-07-21,2001-06-19
FABIANO,fabiano@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-10-19,2022-11-01
WESLEY,wesley@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1957-02-17,2008-08-12
DIOGO,diogo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-05-06,2001-09-20
ADILSON,adilson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-05-25,2012-08-11
JAIR,jair@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2000-10-23,2015-11-20
ALESSANDRO,alessandro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-05-24,2020-01-01
EVERTON,everton@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-09-02,2017-03-20
OSVALDO,osvaldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2006-03-22,2007-03-18
GILSON,gilson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1955-12-06,2011-06-29
WILLIAN,willian@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-12-16,2020-02-06
JOEL,joel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-02-17,2015-12-30
SILVIO,silvio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1968-09-14,2001-05-23
HELIO,helio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-08-15,2018-04-21
MAICON,maicon@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-01-28,2021-09-19
REINALDO,reinaldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-09-19,2021-06-14
PABLO,pablo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1956-10-06,2020-01-29
ARTUR,artur@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-08-16,2019-10-27
VAGNER,vagner@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-05-15,2021-05-01
VALTER,valter@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-05-29,2014-09-06
CELSO,celso@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-02-02,2016-04-26
IVAN,ivan@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2000-03-06,2007-04-04
CLEITON,cleiton@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-05-05,2021-05-31
VANDERLEI,vanderlei@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-08-26,1999-03-14
VICENTE,vicente@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1971-06-18,2015-07-09
ARTHUR,arthur@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-03-10,2013-10-23
MILTON,milton@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-06-03,2010-07-09
DOMINGOS,domingos@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1954-03-23,2015-08-18
WAGNER,wagner@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1955-06-14,2022-10-16
SANDRO,sandro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-09-15,2023-04-04
MOISES,moises@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-12-22,2015-09-07
EDILSON,edilson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1969-03-03,2023-02-03
ADEMIR,ademir@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1950-08-16,2005-03-19
ADAO,adao@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-08-26,2004-07-03
